Data,Quantidade de ligacoes entrantes,Quantidade de ligacoes atendidas,Quantidade de ligacoes abandonadas,Tempo Medio de Atendimento,Tempo Medio de Espera,Quantidade de ligacoes atendidas em ate 15 segundos,Quantidade de ligacoes atendidas apos 15 segundos,Nivel de servico -  ate 15 segundos (%),indice de ligacoes abandonadas em ate 15 segundos (%)
01/01/2020,4332,4222,109,00:03:06,00:00:08,4018,204,95.17,2.05
02/01/2020,23407,21482,395,00:03:04,00:00:16,17947,3535,83.54,1.45
03/01/2020,30823,23497,638,00:03:08,00:00:17,18523,4974,78.83,1.77
04/01/2020,8100,8056,44,00:03:27,00:00:02,7857,199,97.53,0.33
05/01/2020,5294,5062,232,00:03:32,00:00:20,4690,372,92.65,3.74
06/01/2020,28811,25932,2868,00:03:41,00:00:58,18574,7358,71.63,9.16
07/01/2020,28566,25185,1940,00:03:37,00:00:22,23115,2070,91.78,6.02
08/01/2020,25092,23031,1848,00:03:51,00:00:22,21146,1885,91.82,6.56
09/01/2020,26971,23353,1428,00:03:50,00:00:16,21887,1466,93.72,4.66
10/01/2020,27261,21512,641,00:03:37,00:00:06,20931,581,97.3,2.06
11/01/2020,8006,7905,101,00:03:33,00:00:02,7825,80,98.99,0.84
12/01/2020,5932,5737,195,00:03:35,00:00:08,5590,147,97.44,2.48
13/01/2020,26177,23345,2823,00:03:43,00:00:34,20593,2752,88.21,9.61
14/01/2020,26253,22750,2487,00:03:53,00:00:28,20484,2266,90.04,8.55
15/01/2020,24960,23212,1025,00:03:43,00:00:12,22084,1128,95.14,3.55
16/01/2020,25916,22635,910,00:03:44,00:00:10,21713,922,95.93,3.02
17/01/2020,30838,21644,909,00:03:43,00:00:10,20598,1046,95.17,2.57
18/01/2020,8544,8481,63,00:03:26,00:00:01,8438,43,99.49,0.36
19/01/2020,5498,5447,51,00:03:30,00:00:02,5404,43,99.21,0.55
20/01/2020,25285,22865,2414,00:03:47,00:00:34,19958,2907,87.29,8.58
21/01/2020,31627,26533,1460,00:03:39,00:00:38,19570,6963,73.76,4.25
22/01/2020,27911,25438,2031,00:03:25,00:00:40,19698,5740,77.44,6.51
23/01/2020,26389,22976,1247,00:03:40,00:00:36,17685,5291,76.97,4.26
24/01/2020,31772,22665,857,00:03:44,00:00:21,18493,4172,81.59,2.32
25/01/2020,7405,7035,370,00:03:44,00:00:17,6690,345,95.1,4.42
26/01/2020,5798,5471,327,00:03:20,00:00:25,4833,638,88.34,4.9
27/01/2020,28282,26510,1756,00:03:33,00:00:47,19710,6800,74.35,5.71
28/01/2020,30605,27726,1045,00:03:37,00:00:25,23067,4659,83.2,2.96
29/01/2020,28944,27456,908,00:03:55,00:00:23,23220,4236,84.57,2.59
30/01/2020,30299,27269,643,00:04:04,00:00:17,23346,3923,85.61,1.68
31/01/2020,35581,27291,643,00:03:57,00:00:13,23867,3424,87.45,1.54
01/02/2020,11292,10998,294,00:03:44,00:00:15,9698,1300,88.18,2.17
02/02/2020,8138,7561,577,00:03:31,00:00:31,6576,985,86.97,6.32
03/02/2020,37705,32883,4806,00:03:46,00:01:36,18759,14124,57.05,11.96
04/02/2020,44443,34101,4381,00:03:41,00:01:17,20325,13776,59.60,9.19
05/02/2020,39205,34481,3637,00:03:31,00:01:08,22418,12063,65.02,8.57
06/02/2020,35481,30353,3192,00:03:43,00:01:03,20221,10132,66.62,8.38
07/02/2020,36167,26207,1918,00:03:54,00:00:38,19163,7044,73.12,4.85
08/02/2020,9703,9365,338,00:03:57,00:00:17,8258,1107,88.18,2.94
09/02/2020,6954,6738,216,00:03:45,00:00:16,6241,497,92.62,2.80
10/02/2020,35001,30027,4960,00:03:22,00:01:37,16784,13243,55.90,13.16
11/02/2020,38413,30832,3228,00:03:37,00:00:49,22596,8236,73.29,7.71
12/02/2020,30671,28263,1804,00:03:54,00:00:14,26861,1402,95.04,5.23
13/02/2020,30828,26496,1251,00:04:06,00:00:08,25612,884,96.66,3.58
14/02/2020,30588,24869,892,00:04:01,00:00:05,24298,571,97.70,2.50
15/02/2020,9886,9695,191,00:03:42,00:00:03,9554,141,98.55,1.48
16/02/2020,6866,6671,195,00:03:49,00:00:04,6575,96,98.56,2.34
17/02/2020,30692,27928,2753,00:04:25,00:00:19,26045,1883,93.26,8.00
18/02/2020,34633,29510,1433,00:04:07,00:00:08,28474,1036,96.49,3.74
19/02/2020,29969,27740,1151,00:04:07,00:00:07,26944,796,97.13,3.40
20/02/2020,31540,27271,688,00:03:58,00:00:04,26783,488,98.21,1.89
21/02/2020,30247,23529,350,00:03:59,00:00:04,23064,465,98.02,1.05
22/02/2020,8053,7997,56,00:03:49,00:00:02,7943,54,99.32,0.51
23/02/2020,5419,5353,66,00:03:45,00:00:03,5290,63,98.82,0.94
24/02/2020,12732,12722,10,00:03:33,00:00:00,12719,3,99.98,0.02
25/02/2020,9131,9106,6,00:03:42,00:00:00,9102,4,99.96,0.01
26/02/2020,22905,22743,90,00:03:48,00:00:02,22499,244,98.93,0.27
27/02/2020,20008,18671,252,00:04:03,00:00:06,18005,666,96.43,0.99
28/02/2020,32825,26355,294,00:03:57,00:00:02,26065,290,98.90,0.73
29/02/2020,9427,9333,94,00:03:49,00:00:04,9010,323,96.54,0.74
01/03/2020,6763,6490,273,00:03:44,00:00:17,6145,345,94.68,3.67
02/03/2020,33287,31697,1578,00:03:48,00:00:19,29179,2518,92.06,4.25
03/03/2020,36894,32176,1121,00:03:40,00:00:09,30877,1299,95.96,2.72
04/03/2020,29675,28876,499,00:03:53,00:00:08,27400,1476,94.89,1.44
05/03/2020,29060,26979,404,00:03:50,00:00:11,24458,2521,90.66,1.11
06/03/2020,30268,25776,279,00:03:50,00:00:05,24436,1340,94.80,0.72
07/03/2020,9117,8993,124,00:03:49,00:00:04,8701,292,96.75,1.05
08/03/2020,6332,6055,277,00:03:34,00:00:11,5751,304,94.98,3.77
09/03/2020,30449,29577,858,00:03:58,00:00:17,25308,4269,85.57,2.26
10/03/2020,32350,28167,1118,00:03:48,00:00:19,23911,4256,84.89,2.88
11/03/2020,28751,27582,463,00:03:50,00:00:10,25030,2552,90.75,1.19
12/03/2020,26470,24829,318,00:03:55,00:00:06,23418,1411,94.32,0.82
13/03/2020,27073,23173,413,00:03:48,00:00:08,21593,1580,93.18,1.19
14/03/2020,8357,8304,53,00:03:41,00:00:02,8120,184,97.78,0.32
15/03/2020,6106,6058,48,00:03:40,00:00:03,5900,158,97.39,0.51
16/03/2020,28386,28195,189,00:03:19,00:00:04,27397,798,97.17,0.45
17/03/2020,33864,32526,811,00:03:08,00:00:13,29272,3254,90.00,1.92
18/03/2020,31902,30450,1063,00:03:29,00:00:19,25777,4673,84.65,2.65
19/03/2020,31103,29291,1496,00:03:22,00:00:27,23604,5687,80.58,3.96
20/03/2020,29505,24732,3862,00:03:10,00:00:55,17786,6946,71.91,11.70
21/03/2020,11025,10472,553,00:03:27,00:00:18,9424,1048,89.99,3.98
22/03/2020,6621,6458,163,00:03:04,00:00:05,6165,293,95.46,1.31
23/03/2020,33004,22138,10847,00:02:40,00:02:03,12934,9204,58.42,30.14
24/03/2020,28055,22496,4875,00:02:10,00:01:06,15104,7392,67.14,15.73
25/03/2020,22273,16092,6032,00:03:23,00:01:00,14657,1435,91.08,14.18
26/03/2020,20530,19461,1042,00:03:40,00:00:03,19350,111,99.43,0.88
27/03/2020,24659,23923,659,00:03:39,00:00:03,23699,224,99.06,1.03
28/03/2020,9605,9414,191,00:03:35,00:00:02,9260,154,98.36,0.69
29/03/2020,6000,5913,87,00:03:24,00:00:02,5824,89,98.49,0.48
30/03/2020,32227,31790,432,00:03:05,00:00:01,31592,198,99.38,0.17
31/03/2020,30856,28764,1859,00:03:49,00:00:03,28307,457,98.41,1.18
